BAG_huisnummer,BAG_huisletter,BAG_huisnummertoevoeging,BAG_postcode,BAG_openbareruimtenaam,BAG_woonplaatsnaam,Energielabel,Energielabels_Bouwjaar,full_address,longitude,latitude,building_polygon_wkt,busy_roads
9,,2,1054CA,Tweede Helmersstraat,Amsterdam,E,1925,"Tweede Helmersstraat 9 2, 1054CA, Amsterdam",4.87802904,52.36479568,"MULTIPOLYGON (((4.8780515 52.3647083,4.8780488 52.3646637,4.8779784 52.3646422,4.8780128 52.3645956,4.8779441 52.3645751,4.8779044 52.3645644,4.8778692 52.3646108,4.8777615 52.3645788,4.8776493 52.3647229,4.8780623 52.3648441,4.878127 52.364758,4.8781314 52.3647519,4.8780957 52.3647418,4.8780883 52.364726,4.8780469 52.3647132,4.8780515 52.3647083)))",1
9,,1,1054CA,Tweede Helmersstraat,Amsterdam,A,1925,"Tweede Helmersstraat 9 1, 1054CA, Amsterdam",4.87802904,52.36479568,"MULTIPOLYGON (((4.8780515 52.3647083,4.8780488 52.3646637,4.8779784 52.3646422,4.8780128 52.3645956,4.8779441 52.3645751,4.8779044 52.3645644,4.8778692 52.3646108,4.8777615 52.3645788,4.8776493 52.3647229,4.8780623 52.3648441,4.878127 52.364758,4.8781314 52.3647519,4.8780957 52.3647418,4.8780883 52.364726,4.8780469 52.3647132,4.8780515 52.3647083)))",1
9,,H,1054CA,Tweede Helmersstraat,Amsterdam,E,1930,"Tweede Helmersstraat 9 H, 1054CA, Amsterdam",4.87802904,52.36479568,"MULTIPOLYGON (((4.8780515 52.3647083,4.8780488 52.3646637,4.8779784 52.3646422,4.8780128 52.3645956,4.8779441 52.3645751,4.8779044 52.3645644,4.8778692 52.3646108,4.8777615 52.3645788,4.8776493 52.3647229,4.8780623 52.3648441,4.878127 52.364758,4.8781314 52.3647519,4.8780957 52.3647418,4.8780883 52.364726,4.8780469 52.3647132,4.8780515 52.3647083)))",1
8,,2,1054CH,Tweede Helmersstraat,Amsterdam,A,1900,"Tweede Helmersstraat 8 2, 1054CH, Amsterdam",4.87802677,52.36499340,"MULTIPOLYGON (((4.8780071 52.3650958,4.8780837 52.3649993,4.8779892 52.3649717,4.8779144 52.3650688,4.8780071 52.3650958)))",1
8,,H,1054CH,Tweede Helmersstraat,Amsterdam,B,1930,"Tweede Helmersstraat 8 H, 1054CH, Amsterdam",4.87802677,52.36499340,"MULTIPOLYGON (((4.8780071 52.3650958,4.8780837 52.3649993,4.8779892 52.3649717,4.8779144 52.3650688,4.8780071 52.3650958)))",1
7,,H,1054CA,Tweede Helmersstraat,Amsterdam,D,1930,"Tweede Helmersstraat 7 H, 1054CA, Amsterdam",4.87810193,52.36484094,"MULTIPOLYGON (((4.8783597 52.3648565,4.8783185 52.3648233,4.8782939 52.3648331,4.878283 52.364823,4.8782671 52.3648247,4.8782574 52.3648134,4.8782391 52.3648137,4.8782171 52.3647942,4.8781729 52.3647804,4.8781723 52.3647711,4.878127 52.364758,4.8780623 52.3648441,4.8782995 52.3649138,4.8783362 52.3648619,4.8783551 52.3648592,4.8783597 52.3648565)))",1
5,,3,1054CA,Tweede Helmersstraat,Amsterdam,D,1930,"Tweede Helmersstraat 5 3, 1054CA, Amsterdam",4.87820459,52.36485037,"MULTIPOLYGON (((4.8783597 52.3648565,4.8783185 52.3648233,4.8782939 52.3648331,4.878283 52.364823,4.8782671 52.3648247,4.8782574 52.3648134,4.8782391 52.3648137,4.8782171 52.3647942,4.8781729 52.3647804,4.8781723 52.3647711,4.878127 52.364758,4.8780623 52.3648441,4.8782995 52.3649138,4.8783362 52.3648619,4.8783551 52.3648592,4.8783597 52.3648565)))",1
5,,1,1054CA,Tweede Helmersstraat,Amsterdam,D,1930,"Tweede Helmersstraat 5 1, 1054CA, Amsterdam",4.87820459,52.36485037,"MULTIPOLYGON (((4.8783597 52.3648565,4.8783185 52.3648233,4.8782939 52.3648331,4.878283 52.364823,4.8782671 52.3648247,4.8782574 52.3648134,4.8782391 52.3648137,4.8782171 52.3647942,4.8781729 52.3647804,4.8781723 52.3647711,4.878127 52.364758,4.8780623 52.3648441,4.8782995 52.3649138,4.8783362 52.3648619,4.8783551 52.3648592,4.8783597 52.3648565)))",1
4,,,1054CH,Tweede Helmersstraat,Amsterdam,F,1900,"Tweede Helmersstraat 4, 1054CH, Amsterdam",4.87818744,52.36506600,"MULTIPOLYGON (((4.878222 52.3651125,4.8782691 52.3650536,4.8781722 52.3650252,4.8780975 52.3651222,4.8780628 52.3651668,4.878129 52.3651861,4.8781537 52.3651544,4.8781815 52.3651626,4.878222 52.3651125)))",0
26,,1,1015JZ,Tweede Goudsbloemdwarsstraat,Amsterdam,E,1930,"Tweede Goudsbloemdwarsstraat 26 1, 1015JZ, Amsterdam",4.88407690,52.38042421,,0
